name,category,target_price,keywords,competitors
Miniket Rice 1kg,Rice,110,"rice,miniket,regular",Shwapno|Meena Bazar|Agora
Pran UHT Milk 500ml,Dairy,38,"milk,pran,uht",Shwapno|Agora|Unimart
Teer Soybean Oil 1L,Oil,135,"oil,teer,soybean",Shwapno|Meena Bazar|Agora
Lux Soap 150g,Personal Care,45,"soap,lux,personal care",Meena Bazar|Agora|Swapno
Lexus Biscuits 100g,Snacks,18,"biscuits,lexus,snack",Shwapno|Meena Bazar|Agora
Brooke Bond Tea 100g,Beverages,50,"tea,brooke bond,beverage",Shwapno|Unimart|Agora
Pran Chinigura Rice 2kg,Rice,230,"rice,chinigura,pran",Shwapno|Meena Bazar|Agora
Aarong Milk 500ml,Dairy,42,"milk,aarong,dairy",Shwapno|Agora|Unimart
Rupchanda Oil 500ml,Oil,78,"oil,rupchanda,cooking",Meena Bazar|Agora|Swapno
Dettol Soap 75g,Personal Care,28,"soap,dettol,personal care",Shwapno|Meena Bazar|Unimart
Tiger Biscuits 100g,Snacks,15,"biscuits,tiger,snack",Shwapno|Agora|Swapno
Lipton Tea 50g,Beverages,30,"tea,lipton,beverage",Meena Bazar|Unimart|Agora
